Suffix,index,kymin,omega(kHz),omega_plasma(kHz),gamma(cs/a),mode,Qem_e/Qes_e,D_e/chi_e,chi_i/chi_e,Q_i/Q_e,D_e/chi_tot,
2,1,0.1,-11.76951913,5.184995,0.056742,ITG/TEM,-0.07048,0.201408,3.741434,6.433228,0.009292,
1,0,0.1,-2674.063441,,-1.34143252,ITG/TEM,-0.006861552,3.673321683,16.03959794,27.57937185,0.214902751,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
2,2,0.12,5.092479298,,0.065847366,ITG/TEM,-0.070007008,0.136022257,3.944599361,6.782562317,0.006162712,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
2,3,0.12,0.191845897,,-0.015108437,ITG/TEM,-0.017172589,-0.254943582,3.865726921,6.646944682,-0.04762717,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
2,4,0.12,-1.78781124,,-0.023241885,ITG/TEM,-0.101364641,-0.71352914,9.726948137,16.72505262,-0.043280246,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
2,5,0.12,-3.91702707,,-0.034565941,ITG/TEM,-0.203477216,-0.383662945,3.904272403,6.713221915,-0.09101735,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
4,1,0.16,-3983.708297,,-1.51051046,ITG/TEM,-0.002359058,7.772738527,32.08090133,55.16167614,0.233425744,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
5,1,0.18,-4992.828259,,-2.20551494,ITG/TEM,-3.61E-05,-8.188938043,-35.87066641,-61.67800784,0.234196743,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
5,2,0.18,-5354.248242,,-2.56351056,ITG/TEM,-8.17E-05,-7.567623237,-34.44957187,-59.23449927,0.225587681,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
5,3,0.18,-5354.402203,,-2.64757357,ITG/TEM,-3.84E-05,-7.479421688,-34.02685212,-58.50765155,0.225722446,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
5,4,0.18,5487.429957,,-2.94709335,ITG/TEM,-8.24E-05,-11.24516688,-53.29491933,-91.63823204,0.214067865,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
5,5,0.18,-5807.62483,,-2.99028661,ITG/TEM,-9.27E-05,-7.163076756,-34.20352063,-58.81142517,0.215072188,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
5,6,0.18,-11088.10669,,-7.48694604,ITG/TEM,-4.50E-05,-3.944225718,-25.13621516,-43.22059863,0.161984709,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
5,7,0.18,-11089.31082,,-7.74702336,ITG/TEM,-7.74E-05,-3.580723362,-30.88412039,-53.1038648,0.119243618,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
5,8,0.18,11684.77348,,-7.99752911,ITG/TEM,0.000594595,-11.12375964,-63.41142478,-109.033111,0.176949369,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
5,9,0.18,-11444.2631,,-8.58710869,ITG/TEM,-0.000179854,-3.071735215,-18.46881351,-31.75629945,0.170192713,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
5,10,0.18,-11580.50835,,-8.63782325,ITG/TEM,8.05E-05,-8.001202294,-57.85616548,-99.48109095,0.140064628,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
