Suffix,Total mode,ky*rhoi,kx*rhoi,nu_ei(cs/a),f mode,omega(cs/a),f(kHz),omega*i(cs/a),omega*e(cs/a),gamma(cs/a),E_par mode,E_par,D_chi mode,Qem_e/Qes_e,Qem_i/Qes_i,Qem_z/Qes_z,Q_i/Q_e,chi_i/chi_e,D_i/chi_tot,D_e/chi_tot,D_z/chi_tot,D_i/chi_e,D_e/chi_e,D_z/chi_e,D_i/chi_i,D_e/chi_i,D_z/chi_i,
1,ITG/TEM,0.01,0.4,7.37778,ITG/TEM/KBM,0.139,2.905705992,0.4316192,0.54095907,33.611,ITG/TEM,0.999903164,ITG/TEM,-6.14E-05,-0.00030537,-2.20E-05,2.359707557,1.372357597,0.166328531,0.174516603,0.205998044,0.686620753,0.720421933,0.850380458,0.500322041,0.524952049,0.619649325,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
2,ITG/TEM,0.05,0.4,7.37778,ITG/TEM/KBM,0.412,8.612596177,2.158096,2.70479535,27.307,ITG/TEM,0.998511414,ITG/TEM,-0.00601231,-2.77E-05,-5.34E-05,1.94813776,1.13299703,0.03854154,0.056377125,0.124937695,0.644757623,0.943127367,2.090070403,0.569072651,0.832418217,1.844727168,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
3,other,0.1,0.4,7.37778,other,-5.873134737,-122.7741208,4.316192,5.4095907,0.086786734,ITG/TEM,0.984075365,MTM,3.077560401,0.004552072,0.004565267,0.092442515,0.053762674,0.025912628,0.02255553,0.009650442,0.028381887,0.024704885,0.01057005,0.527910622,0.459517419,0.196605726,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
4,other,0.11,0.4,7.37778,other,-6.766313858,-141.4454584,4.7478112,5.95054977,0.117517671,ITG/TEM,0.985773391,MTM,2.829670229,-0.004018916,0.00322908,0.065245059,0.03794519,0.018869054,0.017227244,0.010917738,0.020351519,0.018580718,0.0117755,0.536339882,0.489672545,0.310329182,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
5,other,0.15,0.4,7.37778,other,-8.436,-176.349178,6.474288,8.11438605,0.656,ITG/TEM,0.975778975,MTM,4.270679134,0.012538265,0.004192801,0.095382578,0.055472554,0.030891068,0.030581281,0.029392375,0.034492621,0.034146716,0.032819198,0.621796155,0.615560552,0.59162947,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
6,other,0.16,0.4,7.37778,other,-8.773,-183.3939472,6.9059072,8.65534512,0.701,ITG/TEM,0.97499575,MTM,4.691463597,0.015851844,0.004643201,0.085260097,0.049585527,0.027754021,0.027830873,0.028125798,0.030721459,0.030806528,0.031132986,0.619565051,0.62128064,0.627864381,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
7,other,0.17,0.4,7.37778,other,-9.104,-190.3132903,7.3375264,9.19630419,0.721,ITG/TEM,0.974823324,MTM,5.360590005,0.02003756,0.005334637,0.072164629,0.041969471,0.023589213,0.023971036,0.025440447,0.02578394,0.026201287,0.027807411,0.614349895,0.624293961,0.662562834,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
8,other,0.18,0.4,7.37778,other,-9.390882798,-196.3103915,7.7691456,9.73726326,0.728297551,ITG/TEM,0.974977731,MTM,6.201905786,0.025145953,0.006269582,0.059036285,0.034334295,0.01930725,0.019895589,0.022158606,0.020818579,0.021452972,0.023893133,0.606349394,0.624826359,0.695897007,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
9,other,0.2,0.4,7.37778,other,-3.027,-63.27749667,8.632384,10.8191814,0.801,ITG/TEM,0.97706552,ETG,-0.001382419,0.001822665,0.000328368,0.032115045,0.018677453,-0.010879197,-0.001409993,0.034991043,-0.011394445,-0.001476771,0.036648248,-0.610064175,-0.079067068,1.962165233,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
10,other,0.25,0.4,7.37778,other,-3.57,-74.62856396,10.79048,13.52397675,1.233,ITG/TEM,0.97211702,ETG,-0.001490274,0.000457633,8.22E-05,0.024176578,0.014060603,-0.012115835,-0.003745329,0.028431543,-0.012495468,-0.003862684,0.029322406,-0.888686523,-0.27471678,2.085430215,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
11,other,0.3,0.4,7.37778,other,-4.062,-84.91350891,12.948576,16.2287721,1.687,ITG/TEM,0.964091834,ETG,-0.001371573,0.000115625,3.93E-05,0.019799622,0.011515055,-0.012238339,-0.004711504,0.024224582,-0.012518765,-0.004819462,0.024779658,-1.087165034,-0.418535724,2.151935724,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
12,other,0.4,0.4,7.37778,other,-4.821,-100.7799179,17.264768,21.6383628,2.559,ITG/TEM,0.949136261,ETG,-0.000973368,9.89E-06,2.04E-05,0.01611041,0.009369485,-0.011639691,-0.004943831,0.020795291,-0.011813699,-0.005017739,0.021106171,-1.260869711,-0.535540601,2.252650178,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
13,other,0.5,0.4,7.37778,other,-5.377,-112.4027419,21.58096,27.0479535,3.283,ITG/TEM,0.940776816,ETG,-0.000685336,9.68E-07,4.27E-06,0.013987109,0.008134616,-0.010425486,-0.004456462,0.018488737,-0.010544113,-0.004507171,0.018699113,-1.296202974,-0.554072969,2.298708747,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
14,other,0.6,0.4,7.37778,other,-5.817,-121.6006601,25.897152,32.4575442,3.963,ITG/TEM,0.936929238,ETG,-0.000493341,-7.57E-08,-4.85E-07,0.012143899,0.007062643,-0.009135373,-0.003819901,0.016612192,-0.009220476,-0.003855486,0.016766947,-1.305527623,-0.545898441,2.374032934,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
