Suffix,Total mode,ky*rhoi,kx*rhoi,nu_ei(cs/a),f mode,omega(cs/a),f(kHz),omega*i(cs/a),omega*e(cs/a),gamma(cs/a),E_par mode,E_par,D_chi mode,Qem_e/Qes_e,Qem_i/Qes_i,Qem_z/Qes_z,Q_i/Q_e,chi_i/chi_e,D_i/chi_tot,D_e/chi_tot,D_z/chi_tot,D_i/chi_e,D_e/chi_e,D_z/chi_e,D_i/chi_i,D_e/chi_i,D_z/chi_i,
9,other,0.2,0.6,7.37778,other,-3.105,-64.90803672,8.632384,10.8191814,0.791,ITG/TEM,0.978555634,ETG,-0.000893637,0.001283801,0.000348394,0.026715719,0.015537315,-0.011843207,-0.003010052,0.030946532,-0.01231066,-0.003128859,0.032167994,-0.792328616,-0.201377068,2.070370157,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
10,other,0.25,0.6,7.37778,other,-3.648,-76.25910401,10.79048,13.52397675,1.219,ITG/TEM,0.969026811,ETG,-0.001392976,0.000357064,0.000127635,0.021717739,0.012630592,-0.012307287,-0.004321539,0.026376266,-0.012652152,-0.004442634,0.027115359,-1.001706933,-0.351735989,2.146800311,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
11,other,0.3,0.6,7.37778,other,-4.137,-86.48133588,12.948576,16.2287721,1.68,ITG/TEM,0.957490727,ETG,-0.001371544,9.77E-05,5.71E-05,0.018756053,0.010908137,-0.012184403,-0.004879625,0.023200801,-0.012447147,-0.004984849,0.023701103,-1.141088323,-0.456984468,2.172791185,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
12,other,0.4,0.6,7.37778,other,-4.885,-102.1177969,17.264768,21.6383628,2.557,ITG/TEM,0.940171747,ETG,-0.000970041,9.08E-06,1.82E-05,0.015768882,0.009170859,-0.011485436,-0.004915389,0.020341188,-0.011652692,-0.00498697,0.020637406,-1.270621646,-0.543784338,2.250324163,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
13,other,0.5,0.6,7.37778,other,-5.438,-113.6779078,21.58096,27.0479535,3.283,ITG/TEM,0.933564199,ETG,-0.00067799,6.51E-07,1.97E-06,0.013770893,0.008008869,-0.010288157,-0.004413339,0.018170051,-0.010403065,-0.004462631,0.018372991,-1.298943095,-0.557211122,2.294080572,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
14,other,0.6,0.6,7.37778,other,-5.878,-122.875826,25.897152,32.4575442,3.967,ITG/TEM,0.932908886,ETG,-0.000486791,-2.87E-07,-1.46E-06,0.011974855,0.006964331,-0.009024907,-0.003783196,0.016367419,-0.009107712,-0.003817908,0.016517594,-1.307765624,-0.548208892,2.37174181,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
15,other,0.7,0.6,7.37778,other,-6.267,-131.0076219,30.213344,37.8671349,4.696,ITG/TEM,0.933814592,ETG,-0.000340771,-4.12E-07,-9.91E-07,0.010531319,0.006124799,-0.007877034,-0.003182939,0.014861095,-0.007939718,-0.003208268,0.014979357,-1.296323038,-0.523816057,2.445689503,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
16,other,0.8,0.6,7.37778,other,-6.665,-139.3275571,34.529536,43.2767256,5.474,ITG/TEM,0.933009444,ETG,-0.000237455,-1.46E-07,-4.50E-07,0.008863667,0.005154927,-0.006653433,-0.002465931,0.013631258,-0.006699078,-0.002482849,0.013724774,-1.299548524,-0.481645736,2.662457484,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
17,other,0.9,0.6,7.37778,other,-7.113,-148.6927102,38.845728,48.6863163,6.287,ITG/TEM,0.926935858,ETG,-0.000168307,-1.60E-07,-2.26E-07,0.006071131,0.003530845,-0.003903939,-0.00049009,0.012632755,-0.003924215,-0.000492635,0.012698366,-1.11140951,-0.13952335,3.596409455,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
18,other,1,0.6,7.37778,other,-7.606,-158.9985595,43.16192,54.095907,7.041,ITG/TEM,0.913711109,ETG,-0.000120075,2.19E-09,-2.46E-08,0.006043768,0.003514932,-0.004032126,-0.000793801,0.011655408,-0.004052729,-0.000797857,0.011714964,-1.153003444,-0.226990723,3.332913425,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
